category,month,planned_eur,actual_eur,variance_eur,owner
Salaries,2026-07,13508.47,13339.93,-168.54,Lena
Salaries,2026-08,33348.77,30733.97,-2614.80,Marcus
Salaries,2026-09,10310.05,10234.16,-75.89,Lena
Contractors,2026-07,18625.22,19449.36,824.14,Tomas
Contractors,2026-08,26511.16,25700.66,-810.50,Lena
Contractors,2026-09,8899.28,8984.15,84.87,Lena
Software licences,2026-07,20343.90,19266.69,-1077.21,Priya
Software licences,2026-08,12105.08,12565.33,460.25,Marcus
Software licences,2026-09,33893.53,37844.87,3951.34,Lena
Cloud hosting,2026-07,21476.94,20434.52,-1042.42,Marcus
Cloud hosting,2026-08,37378.91,32727.73,-4651.18,Marcus
Cloud hosting,2026-09,33470.45,32088.61,-1381.84,Priya
Office rent,2026-07,15456.40,15200.44,-255.96,Marcus
Office rent,2026-08,32947.37,28839.95,-4107.42,Priya
Office rent,2026-09,4369.25,4373.48,4.23,Marcus
Utilities,2026-07,12955.67,13610.63,654.96,Priya
Utilities,2026-08,6226.37,6236.02,9.65,Lena
Utilities,2026-09,25635.50,25281.71,-353.79,Lena
Travel,2026-07,8606.11,7457.93,-1148.18,Priya
Travel,2026-08,22997.35,22129.61,-867.74,Priya
Travel,2026-09,14505.28,16157.11,1651.83,Lena
Training,2026-07,14524.88,14781.56,256.68,Marcus
Training,2026-08,32115.44,28877.43,-3238.01,Marcus
Training,2026-09,26128.62,27270.22,1141.60,Priya
Marketing,2026-07,9169.46,9952.19,782.73,Marcus
Marketing,2026-08,40910.94,37631.17,-3279.77,Marcus
Marketing,2026-09,12551.97,10691.74,-1860.23,Lena
Equipment,2026-07,1617.04,1635.89,18.85,Tomas
Equipment,2026-08,5824.93,5638.67,-186.26,Lena
Equipment,2026-09,30268.59,31922.41,1653.82,Priya
Insurance,2026-07,19492.49,19807.72,315.23,Marcus
Insurance,2026-08,37808.21,38199.10,390.89,Priya
Insurance,2026-09,27702.58,24621.54,-3081.04,Tomas
Client events,2026-07,27221.12,28653.19,1432.07,Lena
Client events,2026-08,37780.62,40555.09,2774.47,Lena
Client events,2026-09,40823.89,34703.64,-6120.25,Priya
